Round,Match,Result,Player,Id,Position,Jersey No,xG,xGOT,ShotType,GoalType,Situation,BodyPart,goalMouthLocation,Time,Overtime
1,Energie Cottbus : Arminia Bielefeld,1 : 2,T. Thiele,103004,F,7,0.2451,-,miss,-,set-piece,right-foot,close-high-right,90,5
1,Energie Cottbus : Arminia Bielefeld,1 : 2,T. Thiele,103004,F,7,0.1658,0.1308,save,-,regular,right-foot,low-centre,89,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,J. Shcherbakovski,1017906,M,33,0.02201,-,miss,-,corner,left-foot,close-right,73,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,T. Ciğerci,253679,M,10,0.1254,-,post,-,regular,right-foot,right,62,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,P. Halbauer,922495,F,11,0.03649,0.02214,save,-,corner,left-foot,low-centre,57,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,T. Ciğerci,253679,M,10,0.02215,0.02314,save,-,regular,left-foot,high-centre,54,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,T. Ciğerci,253679,M,10,0.2283,-,miss,-,regular,left-foot,close-high,48,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,T. Ciğerci,253679,M,10,0.1112,0.07771,save,-,regular,left-foot,low-centre,48,0
1,Energie Cottbus : Arminia Bielefeld,1 : 2,P. Halbauer,922495,F,11,0.07348,0.3658,goal,regular,regular,left-foot,low-right,42,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Thiele,103004,F,7,0.03548,-,block,-,regular,right-foot,low-centre,88,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Thiele,103004,F,7,0.2364,-,miss,-,regular,left-foot,close-right,76,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,J. Putze,169141,M,8,0.006488,-,miss,-,regular,left-foot,close-right,30,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,M. Pronichev,355416,F,42,0.1697,-,block,-,regular,left-foot,low-centre,28,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Ciğerci,253679,M,10,0.06383,0.09097,goal,regular,regular,left-foot,low-right,12,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,P. Halbauer,922495,F,11,0.06188,0.4466,goal,regular,corner,right-foot,high-left,7,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Thiele,103004,F,7,0.01645,-,block,-,regular,right-foot,low-centre,7,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Thiele,103004,F,7,0.2695,-,block,-,regular,left-foot,low-centre,3,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,A. Borgmann,169215,D,20,0.02136,0.06645,goal,regular,corner,left-foot,high-left,90,8
3,Energie Cottbus : Alemannia Aachen,2 : 1,H. Rorig,990207,D,3,0.03608,-,post,-,regular,right-foot,high,90,4
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Ciğerci,253679,M,10,0.000911,-,block,-,throw-in-set-piece,left-foot,low-centre,90,2
3,Energie Cottbus : Alemannia Aachen,2 : 1,M. Pronichev,355416,F,42,0.3512,0.1943,save,-,regular,right-foot,low-centre,89,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,A. Borgmann,169215,D,20,0.001062,-,block,-,corner,left-foot,low-centre,84,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,L. Copado,1141131,F,22,0.06112,-,miss,-,regular,right-foot,close-high,82,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,M. Krauss,804808,F,23,0.01192,-,block,-,regular,right-foot,low-centre,81,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Ciğerci,253679,M,10,0.06988,0.03568,save,-,regular,left-foot,low-centre,79,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Thiele,103004,F,7,0.2465,0.373,save,-,regular,right-foot,high-left,70,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,N. Bretschneider,941709,D,28,0.01186,-,miss,-,corner,left-foot,close-high-left,64,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Ciğerci,253679,M,10,0.05577,-,block,-,throw-in-set-piece,right-foot,low-centre,63,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,M. Krauss,804808,F,23,0.0647,-,miss,-,regular,left-foot,close-right,47,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Thiele,103004,F,7,0.02178,-,miss,-,regular,right-foot,close-high-right,39,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Ciğerci,253679,M,10,0.04359,-,miss,-,regular,left-foot,close-right,32,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,M. Krauss,804808,F,23,0.07416,0.07036,save,-,regular,right-foot,low-centre,23,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,H. Rorig,990207,D,3,0.01433,0.2711,goal,regular,throw-in-set-piece,right-foot,low-left,19,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,M. Krauss,804808,F,23,0.06656,0.08698,save,-,regular,left-foot,low-centre,17,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Ciğerci,253679,M,10,0.04781,0.06302,save,-,throw-in-set-piece,left-foot,high-right,15,0
3,Energie Cottbus : Alemannia Aachen,2 : 1,T. Thiele,103004,F,7,0.008017,-,block,-,throw-in-set-piece,right-foot,low-centre,12,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,L. Copado,1141131,F,22,0.01222,0.09989,save,-,corner,right-foot,high-centre,90,3
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Ciğerci,253679,M,10,0.03476,-,miss,-,regular,right-foot,close-high-right,81,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Ciğerci,253679,M,10,0.1026,0.2352,save,-,regular,left-foot,low-left,66,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Ciğerci,253679,M,10,0.08931,0.126,goal,regular,corner,left-foot,high-centre,64,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,F. Kusić,801246,D,19,0.1985,0.2746,save,-,corner,right-foot,low-centre,63,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,Y. Möker,941564,M,21,0.06739,-,miss,-,regular,right-foot,close-right,50,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Thiele,103004,F,7,0.08156,0.1569,save,-,set-piece,head,high-right,43,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Thiele,103004,F,7,0.1633,-,block,-,regular,left-foot,low-centre,38,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,P. Halbauer,922495,F,11,0.483,0.5002,save,-,regular,left-foot,high-left,34,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,P. Halbauer,922495,F,11,0.1424,-,block,-,regular,right-foot,low-centre,33,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,P. Halbauer,922495,F,11,0.01634,-,block,-,regular,left-foot,low-centre,33,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,M. Krauss,804808,F,23,0.1744,0.4993,save,-,regular,left-foot,high-centre,30,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Thiele,103004,F,7,0.1128,-,miss,-,corner,head,close-high-left,24,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,M. Krauss,804808,F,23,0.02149,-,miss,-,corner,right-foot,close-left,15,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Ciğerci,253679,M,10,0.0308,0.05195,save,-,regular,left-foot,low-right,14,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Ciğerci,253679,M,10,0.3544,0.3331,save,-,regular,left-foot,low-centre,12,0
4,SV Wehen Wiesbaden : Energie Cottbus,2 : 1,T. Thiele,103004,F,7,0.5204,-,post,-,regular,right-foot,right,12,0
