Player,Position,xG_cum,xG_per_90,xG_per_Shot,xGOT_cum,xGOT_per_90,xGOT_per_Shot,Shots,Shots_oT,%_oT,Goals,Minutes,Minutes_%,Appearances,Rating
M. Großer,Defense,2.62,0.12,0.16,2.8,0.12,0.35,16,8,50.0,2,2035,84.0,25,7.13
J. Felix,Defense,1.93,0.13,0.13,0.87,0.06,0.29,15,3,20.0,1,1350,56.0,15,7.05
L. Oppie,Defense,1.59,0.06,0.04,1.76,0.07,0.2,42,9,21.0,3,2206,91.0,26,7.2
C. Lannert,Defense,0.54,0.02,0.03,0.16,0.01,0.03,21,5,24.0,0,2188,90.0,26,6.91
L. Schneider,Defense,0.48,0.02,0.08,0.0,0.0,0.0,6,0,0.0,0,1729,71.0,22,6.91
F. Hagmann,Defense,0.28,0.03,0.04,0.21,0.02,0.07,7,3,43.0,1,928,38.0,16,6.72
M. Corboz,Midfield,5.06,0.21,0.09,3.05,0.13,0.3,57,10,18.0,3,2160,89.0,24,7.01
M. Wörl,Midfield,4.05,0.18,0.1,4.44,0.2,0.32,39,14,36.0,3,1989,82.0,26,7.2
I. Young,Midfield,2.51,0.19,0.17,2.67,0.2,0.38,15,7,47.0,3,1190,49.0,21,6.94
M. Biankadi,Midfield,1.91,0.2,0.08,2.0,0.21,0.25,24,8,33.0,2,841,35.0,22,6.81
K. Mizuta,Midfield,1.14,0.16,0.09,0.3,0.04,0.1,12,3,25.0,1,623,26.0,17,6.93
S. Russo,Midfield,0.59,0.02,0.02,0.39,0.02,0.08,27,5,19.0,0,2340,96.0,26,7.5
S. Schreck,Midfield,0.5,0.06,0.06,0.82,0.1,0.2,9,4,44.0,0,766,32.0,14,6.66
L. Kunze,Midfield,0.38,0.03,0.03,0.4,0.03,0.13,11,3,27.0,0,1052,43.0,21,6.73
N. Boujellab,Midfield,0.15,0.14,0.07,0.0,0.0,0.0,2,0,0.0,0,100,4.0,6,6.63
J. Kania,Forward,4.61,0.37,0.18,6.45,0.52,0.43,25,15,60.0,9,1117,46.0,24,6.94
N. J. S. Bazee,Forward,4.44,0.57,0.23,3.8,0.49,0.42,19,9,47.0,2,697,29.0,14,6.7
R. Uldriķis,Forward,3.38,0.66,0.28,3.58,0.7,0.51,12,7,58.0,1,458,19.0,6,6.9
A. Becker,Forward,2.64,0.17,0.19,1.71,0.11,0.43,14,4,29.0,0,1365,56.0,22,6.74
J. Grodowski,Forward,1.77,0.3,0.12,1.88,0.32,0.23,15,8,53.0,3,529,22.0,7,7.23
M. Schroers,Forward,1.7,0.19,0.13,1.0,0.11,0.2,13,5,38.0,1,816,34.0,17,6.69
D. Nsumbu,Forward,1.29,0.91,0.22,1.53,1.08,0.51,6,3,50.0,1,128,5.0,6,6.92
J. Hilterman,Forward,0.69,0.32,0.23,0.0,0.0,0.0,3,0,0.0,0,194,8.0,3,6.53
J. T. Kersken,,0.22,0.01,0.11,0.0,0.0,0.0,2,0,0.0,0,2430,100.0,27,7.34
