Player	Position	xG_cum	xG_per_90	xG_per_Shot	xGOT_cum	xGOT_per_90	xGOT_per_Shot	Shots	Shots_oT	%_oT	Goals	Minutes	Minutes_%	Appearances	Rating
M. Großer	Defense	3.9	0.14	0.18	3.82	0.14	0.38	22	10	45.0	2	2533	85.0	31	7.17
L. Oppie	Defense	1.95	0.06	0.04	2.44	0.08	0.2	51	12	24.0	3	2752	93.0	32	7.18
J. Felix	Defense	1.93	0.11	0.13	0.87	0.05	0.29	15	3	20.0	1	1523	51.0	21	6.96
C. Lannert	Defense	1.01	0.03	0.03	0.61	0.02	0.07	30	9	30.0	0	2775	93.0	32	6.95
L. Schneider	Defense	0.82	0.03	0.07	0.11	0.0	0.11	11	1	9.0	0	2303	78.0	28	6.94
F. Hagmann	Defense	0.28	0.03	0.04	0.21	0.02	0.07	7	3	43.0	1	981	33.0	19	6.71
J. Lukas	Defense	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0.0	0	24	1.0	2	6.2
M. Corboz	Midfield	7.15	0.24	0.1	5.87	0.2	0.35	72	17	24.0	6	2700	91.0	30	7.04
M. Wörl	Midfield	5.23	0.19	0.11	5.87	0.21	0.35	49	17	35.0	4	2467	83.0	32	7.18
M. Biankadi	Midfield	3.14	0.26	0.09	2.47	0.21	0.19	35	13	37.0	4	1068	36.0	27	6.84
I. Young	Midfield	2.68	0.18	0.17	2.67	0.18	0.38	16	7	44.0	3	1317	44.0	25	6.85
K. Mizuta	Midfield	1.14	0.1	0.09	0.3	0.03	0.1	12	3	25.0	1	1051	35.0	23	6.89
S. Russo	Midfield	0.83	0.03	0.02	0.7	0.02	0.12	34	6	18.0	1	2880	97.0	32	7.47
S. Schreck	Midfield	0.74	0.06	0.05	0.82	0.07	0.2	14	4	29.0	0	1072	36.0	18	6.67
L. Kunze	Midfield	0.38	0.03	0.03	0.4	0.03	0.13	11	3	27.0	0	1274	43.0	25	6.75
N. Boujellab	Midfield	0.15	0.13	0.05	0.0	0.0	0.0	3	0	0.0	0	106	4.0	7	6.63
J. Kania	Forward	6.6	0.43	0.19	7.77	0.51	0.39	34	20	59.0	11	1378	46.0	30	6.95
N. J. S. Bazee	Forward	6.26	0.62	0.22	4.98	0.49	0.45	28	11	39.0	3	906	31.0	19	6.69
R. Uldriķis	Forward	3.38	0.66	0.28	3.58	0.7	0.51	12	7	58.0	1	458	15.0	6	6.9
J. Grodowski	Forward	2.67	0.25	0.13	2.87	0.27	0.29	21	10	48.0	5	943	32.0	13	7.12
A. Becker	Forward	2.64	0.14	0.19	1.71	0.09	0.43	14	4	29.0	0	1748	59.0	27	6.81
M. Schroers	Forward	1.7	0.19	0.13	1.0	0.11	0.2	13	5	38.0	1	816	27.0	17	6.69
D. Sumbu	Forward	1.29	0.91	0.22	1.53	1.08	0.51	6	3	50.0	1	128	4.0	6	6.92
J. Hilterman	Forward	0.69	0.32	0.23	0.0	0.0	0.0	3	0	0.0	0	194	7.0	3	6.53
J. T. Kersken		0.22	0.01	0.11	0.0	0.0	0.0	2	0	0.0	0	2970	100.0	33	7.41
