Player,Position,xG_cum,xG_per_90,xG_per_Shot,xGOT_cum,xGOT_per_90,xGOT_per_Shot,Shots,Shots_oT,%_oT,Goals,Minutes,Minutes_%,Appearances,Rating
F. Kusić,Defense,0.8,0.05,0.16,0.33,0.02,0.17,5,2,40.0,0,1350,79.0,15,6.87
H. Rorig,Defense,0.52,0.03,0.04,1.12,0.07,0.22,15,5,33.0,2,1389,81.0,16,6.91
T. Campulka,Defense,0.51,0.07,0.17,0.67,0.09,0.34,3,2,67.0,1,643,38.0,8,7.08
N. Bretschneider,Defense,0.36,0.02,0.05,0.16,0.01,0.08,7,2,29.0,0,1504,88.0,18,6.92
A. Borgmann,Defense,0.18,0.02,0.02,0.09,0.01,0.04,9,2,22.0,1,689,40.0,14,6.66
T. Hasse,Defense,0.02,0.0,0.02,0.0,0.0,0.0,1,0,0.0,0,522,31.0,12,6.58
D. Slamar,Defense,0.01,0.0,0.01,0.0,0.0,0.0,1,0,0.0,0,1530,89.0,17,7.11
T. Ciğerci,Midfield,6.39,0.4,0.11,5.25,0.33,0.24,56,22,39.0,7,1441,84.0,17,7.48
Y. Möker,Midfield,1.89,0.12,0.09,0.53,0.03,0.13,21,4,19.0,1,1409,82.0,19,6.84
D. Pelivan,Midfield,0.75,0.05,0.11,0.94,0.06,0.31,7,3,43.0,1,1440,84.0,16,7.05
J. Hofmann,Midfield,0.4,0.15,0.08,0.66,0.25,0.33,5,2,40.0,1,238,14.0,12,6.6
J. Juckel,Midfield,0.21,0.04,0.07,0.0,0.0,0.0,3,0,0.0,0,444,26.0,14,6.62
J. Shcherbakovski,Midfield,0.02,0.03,0.02,0.0,0.0,0.0,1,0,0.0,0,65,4.0,2,6.4
J. Putze,Midfield,0.01,0.0,0.01,0.0,0.0,0.0,1,0,0.0,0,252,15.0,4,6.63
T. Thiele,Forward,10.26,0.64,0.23,13.36,0.84,0.49,44,27,61.0,10,1440,84.0,16,7.43
L. Copado,Forward,4.27,0.4,0.18,4.61,0.44,0.33,24,14,58.0,4,952,56.0,16,7.01
M. Krauss,Forward,4.1,0.31,0.13,3.62,0.27,0.24,31,15,48.0,5,1201,70.0,18,7.08
M. Pronichev,Forward,3.53,0.42,0.22,3.66,0.44,0.37,16,10,62.0,4,752,44.0,16,6.81
P. Halbauer,Forward,1.99,0.21,0.09,2.54,0.26,0.18,22,14,64.0,4,871,51.0,16,6.93
R. Hajrulla,Forward,0.41,0.38,0.21,0.0,0.0,0.0,2,0,0.0,0,96,6.0,5,6.58
