Player	Position	xG_cum	xG_per_90	xG_per_Shot	xGOT_cum	xGOT_per_90	xGOT_per_Shot	Shots	Shots_oT	%_oT	Goals	Minutes	Minutes_%	Appearances	Rating
F. Kusić	Defense	0.96	0.05	0.14	0.33	0.02	0.17	7	2	29.0	0	1620	82.0	18	6.96
H. Rorig	Defense	0.67	0.04	0.04	1.53	0.08	0.22	18	7	39.0	2	1682	85.0	19	6.99
T. Campulka	Defense	0.51	0.07	0.17	0.67	0.09	0.34	3	2	67.0	1	643	32.0	8	7.08
N. Bretschneider	Defense	0.47	0.02	0.05	0.16	0.01	0.08	10	2	20.0	0	1786	90.0	21	6.93
A. Borgmann	Defense	0.35	0.03	0.03	0.22	0.02	0.07	12	3	25.0	1	969	49.0	17	6.69
T. Hasse	Defense	0.02	0.0	0.02	0.0	0.0	0.0	1	0	0.0	0	522	26.0	12	6.58
D. Slamar	Defense	0.01	0.0	0.01	0.0	0.0	0.0	1	0	0.0	0	1800	91.0	20	7.18
T. Ciğerci	Midfield	7.34	0.38	0.11	5.25	0.27	0.24	64	22	34.0	7	1726	87.0	20	7.47
Y. Möker	Midfield	1.89	0.12	0.09	0.53	0.03	0.13	21	4	19.0	1	1409	71.0	19	6.84
D. Pelivan	Midfield	0.77	0.04	0.09	0.94	0.05	0.31	9	3	33.0	1	1710	86.0	19	7.07
J. Hofmann	Midfield	0.4	0.15	0.08	0.66	0.24	0.33	5	2	40.0	1	245	12.0	13	6.6
J. Juckel	Midfield	0.21	0.04	0.07	0.0	0.0	0.0	3	0	0.0	0	444	22.0	14	6.62
J. Shcherbakovski	Midfield	0.02	0.03	0.02	0.0	0.0	0.0	1	0	0.0	0	65	3.0	2	6.4
J. Putze	Midfield	0.01	0.0	0.01	0.0	0.0	0.0	1	0	0.0	0	253	13.0	5	6.63
T. Thiele	Forward	10.53	0.6	0.22	13.73	0.78	0.49	47	28	60.0	11	1582	80.0	18	7.38
L. Copado	Forward	5.91	0.45	0.17	7.08	0.53	0.35	34	20	59.0	5	1194	60.0	19	7.06
M. Krauss	Forward	4.73	0.31	0.13	4.24	0.27	0.25	36	17	47.0	6	1391	70.0	21	7.12
M. Pronichev	Forward	3.53	0.41	0.22	3.66	0.43	0.37	16	10	62.0	4	769	39.0	17	6.78
P. Halbauer	Forward	2.44	0.23	0.09	3.86	0.36	0.24	26	16	62.0	4	964	49.0	19	6.87
E. Engelhardt	Forward	0.45	0.03	0.06	0.33	0.02	0.11	7	3	43.0	0	1476	75.0	19	6.73
R. Hajrulla	Forward	0.41	0.38	0.21	0.0	0.0	0.0	2	0	0.0	0	96	5.0	5	6.58
E. Tallig	Forward	0.09	0.29	0.04	0.08	0.26	0.08	2	1	50.0	0	28	1.0	2	7.15
