Player	Position	xG_cum	xG_per_90	xG_per_Shot	xGOT_cum	xGOT_per_90	xGOT_per_Shot	Shots	Shots_oT	%_oT	Goals	Minutes	Minutes_%	Appearances	Rating
S. Lorenz	Defense	1.14	0.07	0.1	2.21	0.13	0.28	11	8	73.0	2	1530	94.0	17	6.94
R. Malone	Defense	0.85	0.13	0.09	0.63	0.1	0.21	9	3	33.0	0	576	36.0	7	6.94
M. Costly	Defense	0.47	0.04	0.03	0.33	0.03	0.07	17	5	29.0	1	1080	67.0	12	6.93
M. Plath	Defense	0.25	0.0	0.05	0.03	0.0	0.03	5	1	20.0	0	0	0.0	0	0.0
M. Cvjetinović	Defense	0.05	0.0	0.05	0.0	0.0	0.0	1	0	0.0	0	1260	78.0	14	6.64
M. N. Dühring	Defense	0.02	0.0	0.01	0.0	0.0	0.0	3	0	0.0	0	596	37.0	8	6.46
D. Kopacz	Midfield	2.6	0.18	0.1	1.61	0.11	0.18	25	9	36.0	3	1278	79.0	17	6.96
M. Besuschkow	Midfield	2.21	0.17	0.12	3.05	0.23	0.51	19	6	32.0	4	1170	72.0	13	7.28
B. Kanuric	Midfield	2.09	0.2	0.07	2.58	0.24	0.29	30	9	30.0	4	964	60.0	16	7.11
L. Fröde	Midfield	0.98	0.06	0.11	1.19	0.07	0.3	9	4	44.0	3	1440	89.0	16	7.14
Y. Deichmann	Midfield	0.73	0.08	0.06	0.38	0.04	0.13	12	3	25.0	2	861	53.0	14	6.7
F. Keidel	Midfield	0.26	0.02	0.03	0.46	0.04	0.23	8	2	25.0	1	1179	73.0	17	6.81
B. Ozturk	Midfield	0.25	0.39	0.06	0.04	0.06	0.04	4	1	25.0	0	57	4.0	2	6.6
M. Dittgen	Midfield	0.06	0.01	0.01	0.03	0.01	0.03	4	1	25.0	0	433	27.0	10	6.78
S. Grønning	Forward	6.66	0.47	0.21	7.91	0.56	0.44	32	18	56.0	12	1267	78.0	18	7.26
D. Zeitler	Forward	2.4	0.32	0.14	4.84	0.64	0.35	17	14	82.0	4	678	42.0	13	6.83
P. Testroet	Forward	1.83	0.26	0.11	1.45	0.21	0.18	16	8	50.0	2	622	38.0	11	6.91
D. Borkowski	Forward	1.66	0.17	0.11	1.38	0.14	0.46	15	3	20.0	1	867	54.0	17	6.7
T. Heike	Forward	0.43	0.21	0.14	0.09	0.04	0.09	3	1	33.0	0	188	12.0	9	6.53
