Player,Position,xG_cum,xG_per_90,xG_per_Shot,xGOT_cum,xGOT_per_90,xGOT_per_Shot,Shots,Shots_oT,%_oT,Goals,Minutes,Minutes_%,Appearances,Rating
C. Rizzuto,Defense,1.62,0.09,0.07,1.33,0.07,0.44,23,3,13.0,0,1620,95.0,18,7.09
J. Bichsel,Defense,0.93,0.06,0.31,0.32,0.02,0.32,3,1,33.0,1,1304,76.0,16,6.88
L. Wilhelm,Defense,0.76,0.15,0.76,0.9,0.18,0.9,1,1,100.0,1,442,26.0,10,6.34
S. Sonnenberg,Defense,0.39,0.07,0.1,0.94,0.16,0.47,4,2,50.0,1,518,30.0,8,6.74
P. Fahrner,Defense,0.35,0.04,0.09,0.0,0.0,0.0,4,0,0.0,0,861,50.0,11,6.99
D. Becker,Defense,0.33,0.02,0.08,0.05,0.0,0.05,4,1,25.0,0,1242,73.0,14,6.75
M. Zeitz,Defense,0.14,0.02,0.07,0.07,0.01,0.07,2,1,50.0,0,507,30.0,6,7.2
T. Schumacher,Defense,0.05,0.0,0.05,0.0,0.0,0.0,1,0,0.0,0,1101,64.0,16,6.69
R. Neudecker,Midfield,3.03,0.25,0.12,3.11,0.26,0.28,25,11,44.0,3,1072,63.0,15,7.29
K. Rabihic,Midfield,2.92,0.32,0.11,2.51,0.28,0.28,27,9,33.0,1,813,48.0,15,7.11
T. Civeja,Midfield,2.31,0.29,0.1,1.62,0.2,0.18,23,9,39.0,3,716,42.0,16,6.94
J. Günther-Schmidt,Midfield,1.73,0.24,0.17,2.73,0.38,0.46,10,6,60.0,0,643,38.0,14,6.77
S. Vasiliadis,Midfield,1.55,0.18,0.12,2.09,0.25,0.42,13,5,38.0,3,759,44.0,12,6.76
P. Sontheimer,Midfield,0.7,0.04,0.05,0.39,0.02,0.2,14,2,14.0,0,1620,95.0,18,7.32
E. Krahn,Midfield,0.69,0.07,0.09,1.08,0.1,0.54,8,2,25.0,0,953,56.0,16,6.77
M. Multhaup,Midfield,0.6,0.18,0.12,0.09,0.03,0.09,5,1,20.0,0,306,18.0,9,6.7
K. Brünker,Forward,5.29,0.34,0.19,4.63,0.29,0.36,28,13,46.0,6,1419,83.0,18,6.98
A. Naïfi,Forward,3.23,0.48,0.17,1.99,0.3,0.25,19,8,42.0,1,602,35.0,11,6.99
S. Stehle,Forward,2.24,0.16,0.13,1.53,0.11,0.31,17,5,29.0,0,1298,76.0,17,6.96
P. Schmidt,Forward,1.51,0.33,0.13,1.83,0.4,0.3,12,6,50.0,1,414,24.0,13,6.65
