Player	Position	xG_cum	xG_per_90	xG_per_Shot	xGOT_cum	xGOT_per_90	xGOT_per_Shot	Shots	Shots_oT	%_oT	Goals	Minutes	Minutes_%	Appearances	Rating
D. Kubatta	Defense	1.82	0.25	0.36	1.63	0.23	0.81	5	2	40.0	2	649	33.0	9	7.05
J. Sterner	Defense	0.42	0.03	0.04	0.53	0.04	0.13	10	4	40.0	1	1101	56.0	17	7.06
P. Heise	Defense	0.41	0.02	0.03	1.05	0.06	0.13	15	8	53.0	1	1490	75.0	18	7.19
L. Bünning	Defense	0.31	0.03	0.1	0.16	0.01	0.16	3	1	33.0	0	1024	52.0	19	6.89
L. Boeder	Defense	0.28	0.02	0.14	0.0	0.0	0.0	2	0	0.0	0	1585	80.0	19	6.87
C. Kammerknecht	Defense	0.25	0.02	0.06	0.31	0.02	0.31	4	1	25.0	0	1294	65.0	16	6.81
A. Hoti	Defense	0.14	0.14	0.14	0.0	0.0	0.0	1	0	0.0	0	90	5.0	2	6.6
S. Risch	Defense	0.11	0.02	0.03	0.05	0.01	0.05	4	1	25.0	0	600	30.0	10	7.14
T. Menzel	Midfield	4.02	0.29	0.16	5.35	0.38	0.49	25	11	44.0	4	1269	64.0	17	7.11
A. Casar	Midfield	3.59	0.18	0.09	1.99	0.1	0.15	40	13	32.0	1	1768	89.0	21	7.29
J. Oehmichen	Midfield	3.34	0.47	0.21	2.25	0.31	0.45	16	5	31.0	3	646	33.0	13	6.73
N. Hauptmann	Midfield	2.16	0.11	0.07	1.67	0.08	0.24	33	7	21.0	2	1808	91.0	21	6.95
O. B. Meier	Midfield	1.62	0.18	0.07	1.55	0.17	0.17	24	9	38.0	1	810	41.0	15	7.16
V. Šapina	Midfield	1.31	0.08	0.06	0.86	0.05	0.17	23	5	22.0	1	1430	72.0	18	7.18
D. Kother	Midfield	1.25	0.53	0.25	0.69	0.29	0.34	5	2	40.0	1	212	11.0	3	7.17
M. Baur	Midfield	0.97	0.87	0.32	0.0	0.0	0.0	3	0	0.0	0	100	5.0	3	6.37
J. H. Marx	Midfield	0.18	0.07	0.18	0.0	0.0	0.0	1	0	0.0	0	222	11.0	7	6.64
T. K. Berger	Midfield	0.08	0.1	0.03	0.02	0.02	0.02	3	1	33.0	0	74	4.0	6	6.52
C. Daferner	Forward	10.55	0.62	0.16	10.74	0.63	0.37	66	29	44.0	10	1537	78.0	21	7.27
R. Meißner	Forward	3.45	0.3	0.12	2.68	0.24	0.27	30	10	33.0	5	1023	52.0	20	6.79
S. Kutschke	Forward	3.0	0.41	0.16	2.92	0.4	0.32	19	9	47.0	4	652	33.0	18	6.84
J. Lemmer	Forward	2.81	0.14	0.11	3.58	0.18	0.3	26	12	46.0	3	1836	93.0	22	7.38
D. Bogdanov	Forward	0.12	0.22	0.06	0.29	0.54	0.14	2	2	100.0	0	48	2.0	5	6.77
J. Zickler	Forward	0.03	0.0	0.03	0.0	0.0	0.0	1	0	0.0	0	0	0.0	0	0.0
