Round,Match,Result,Player,Id,Position,Jersey No,xG,xGOT,ShotType,GoalType,Situation,BodyPart,goalMouthLocation,Time,Overtime
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,D. Borkowski,997016,F,7,0.2167,-,miss,-,throw-in-set-piece,right-foot,close-left,85,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,D. Kopacz,851257,M,29,0.00399,-,miss,-,corner,right-foot,close-left,78,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,D. Kopacz,851257,M,29,0.07558,0.02754,save,-,regular,right-foot,low-centre,77,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,S. Grønning,842368,F,11,0.121,-,goal,regular,set-piece,head,low-left,70,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,D. Borkowski,997016,F,7,0.01383,-,miss,-,corner,right-foot,close-left,68,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,D. Borkowski,997016,F,7,0.007335,-,miss,-,corner,right-foot,close-right,68,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,L. Fröde,187435,M,34,0.09037,0.1156,save,-,corner,head,high-centre,67,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,P. Testroet,37631,F,37,0.0526,-,miss,-,corner,head,close-left,58,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,D. Borkowski,997016,F,7,0.03243,-,miss,-,corner,left-foot,close-high,45,1
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,B. Kanuric,1064762,M,8,0.2128,-,miss,-,regular,head,close-right,27,0
1,FC Ingolstadt 04 : SV Waldhof Mannheim,2 : 1,F. Keidel,1215028,M,43,0.1043,0.4347,goal,regular,regular,right-foot,low-left,8,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,S. Grønning,842368,F,11,0.3118,-,miss,-,regular,right-foot,close-left,81,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,T. Heike,951706,F,9,0.1099,0.09185,save,-,regular,right-foot,low-centre,78,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,M. Dittgen,187427,M,10,0.005627,-,block,-,set-piece,left-foot,low-centre,67,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,P. Testroet,37631,F,37,0.05562,-,block,-,throw-in-set-piece,left-foot,low-centre,54,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,B. Kanuric,1064762,M,8,0.08871,0.04534,save,-,free-kick,right-foot,high-centre,53,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,P. Testroet,37631,F,37,0.07734,0.1508,goal,regular,regular,left-foot,low-centre,45,1
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,S. Lorenz,802864,D,32,0.03892,0.0703,save,-,throw-in-set-piece,head,low-left,42,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,D. Borkowski,997016,F,7,0.0426,-,block,-,regular,left-foot,low-centre,28,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,M. Plath,1862751,D,14,0.01061,-,miss,-,throw-in-set-piece,right-foot,close-high-right,24,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,P. Testroet,37631,F,37,0.3871,-,miss,-,regular,left-foot,close-right,21,0
2,SpVgg Unterhaching : FC Ingolstadt 04,2 : 1,P. Testroet,37631,F,37,0.03441,-,miss,-,regular,right-foot,close-high,2,0
