Round,Match,Result,Player,Id,Position,Jersey No,xG,xGOT,ShotType,GoalType,Situation,BodyPart,goalMouthLocation,Time,Overtime
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,P. Schmidt,142189,F,39,0.01811,-,miss,-,throw-in-set-piece,right-foot,close-high,90,3
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,S. Stehle,1006823,F,22,0.01945,-,miss,-,regular,right-foot,close-left,81,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,P. Schmidt,142189,F,39,0.3339,0.7891,goal,regular,regular,head,low-left,71,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,P. Schmidt,142189,F,39,0.2643,0.5973,save,-,regular,right-foot,low-right,70,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,S. Stehle,1006823,F,22,0.001467,-,block,-,regular,right-foot,low-centre,66,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,K. Rabihic,271067,M,10,0.241,0.704,save,-,regular,head,low-right,65,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,S. Sonnenberg,836713,D,4,0.1443,0.4226,save,-,regular,head,high-left,56,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,S. Vasiliadis,809541,M,19,0.09979,-,miss,-,regular,right-foot,close-high-right,20,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,K. Brünker,802325,F,9,0.4589,-,block,-,regular,right-foot,low-centre,14,0
1,TSV 1860 München : 1. FC Saarbrücken,0 : 1,S. Stehle,1006823,F,22,0.0791,-,miss,-,set-piece,right-foot,close-high-right,10,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,A. Naïfi,1502033,F,25,0.0725,-,block,-,regular,right-foot,low-centre,90,6
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,K. Brünker,802325,F,9,0.2946,-,miss,-,regular,head,close-left,90,3
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,A. Naïfi,1502033,F,25,0.3086,-,miss,-,regular,head,close-high-left,77,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,C. Rizzuto,136930,D,7,0.003886,-,block,-,throw-in-set-piece,right-foot,low-centre,76,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,K. Rabihic,271067,M,10,0.2313,-,block,-,regular,right-foot,low-centre,66,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,R. Neudecker,573308,M,31,0.02537,-,block,-,regular,left-foot,low-centre,59,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,K. Brünker,802325,F,9,0.1873,-,miss,-,throw-in-set-piece,left-foot,close-left,57,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,P. Schmidt,142189,F,39,0.2355,-,miss,-,throw-in-set-piece,head,close-high-left,51,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,P. Schmidt,142189,F,39,0.1041,0.1466,save,-,regular,right-foot,low-left,30,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,S. Stehle,1006823,F,22,0.3804,-,block,-,regular,right-foot,low-centre,18,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,K. Rabihic,271067,M,10,0.2172,-,miss,-,throw-in-set-piece,left-foot,close-right,16,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,M. Zeitz,84223,D,8,0.0173,-,block,-,throw-in-set-piece,right-foot,low-centre,16,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,P. Schmidt,142189,F,39,0.2054,0.149,save,-,regular,right-foot,high-centre,11,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,C. Rizzuto,136930,D,7,0.004866,-,miss,-,corner,right-foot,close-high-right,10,0
2,1. FC Saarbrücken : SV Sandhausen,0 : 1,S. Vasiliadis,809541,M,19,0.1247,-,block,-,regular,right-foot,low-centre,9,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,S. Stehle,1006823,F,22,0.0507,0.3275,save,-,regular,head,low-left,90,3
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,J. Günther-Schmidt,169071,M,20,0.202,-,block,-,regular,right-foot,low-centre,85,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,S. Stehle,1006823,F,22,0.005387,-,miss,-,regular,right-foot,close-high-right,82,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,J. Günther-Schmidt,169071,M,20,0.1729,0.7537,save,-,regular,left-foot,low-left,81,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,T. Civeja,989957,M,23,0.07212,0.1184,save,-,regular,right-foot,low-left,78,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,T. Civeja,989957,M,23,0.03006,-,block,-,regular,left-foot,low-centre,76,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,S. Sonnenberg,836713,D,4,0.08718,-,miss,-,corner,head,close-right,72,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,C. Rizzuto,136930,D,7,0.005748,-,block,-,set-piece,right-foot,low-centre,48,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,T. Civeja,989957,M,23,0.1872,-,goal,regular,regular,right-foot,low-right,45,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,T. Civeja,989957,M,23,0.1288,0.08759,save,-,regular,right-foot,low-centre,37,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,K. Brünker,802325,F,9,0.1754,0.1787,goal,regular,regular,head,low-centre,26,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,A. Naïfi,1502033,F,25,0.3281,0.5435,save,-,regular,right-foot,high-centre,21,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,S. Sonnenberg,836713,D,4,0.05736,-,miss,-,corner,head,close-right,14,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,C. Rizzuto,136930,D,7,0.76,0.81,save,-,penalty,right-foot,low-right,8,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,T. Civeja,989957,M,23,0.4955,0.729,save,-,regular,right-foot,high-centre,8,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,S. Stehle,1006823,F,22,0.2174,-,miss,-,regular,head,close-high,4,0
3,1. FC Saarbrücken : FC Ingolstadt 04,2 : 3,T. Civeja,989957,M,23,0.06781,-,block,-,regular,right-foot,low-centre,1,0
4,SV Waldhof Mannheim : 1. FC Saarbrücken,0 : 1,C. Rizzuto,136930,D,7,0.03492,-,miss,-,regular,left-foot,close-high,87,0
4,SV Waldhof Mannheim : 1. FC Saarbrücken,0 : 1,A. Naïfi,1502033,F,25,0.2783,-,miss,-,regular,head,close-high,80,0
4,SV Waldhof Mannheim : 1. FC Saarbrücken,0 : 1,J. Günther-Schmidt,169071,M,20,0.08987,0.1367,save,-,throw-in-set-piece,left-foot,low-centre,79,0
