Round,Match,Result,Player,Id,Position,Jersey No,xG,xGOT,ShotType,GoalType,Situation,BodyPart,goalMouthLocation,Time,Overtime
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,D. Bogdanov,1568506,F,34,0.03173,0.1036,save,-,regular,right-foot,high-left,90,6
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,J. Lemmer,992144,F,10,0.00301,-,block,-,throw-in-set-piece,left-foot,low-centre,88,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,S. Kutschke,38923,F,30,0.1731,0.6191,goal,regular,regular,right-foot,low-left,78,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,S. Kutschke,38923,F,30,0.2438,0.6901,save,-,regular,right-foot,low-right,77,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,O. B. Meier,907685,M,21,0.2878,0.4706,save,-,regular,right-foot,high-centre,65,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,C. Daferner,843133,F,33,0.76,0.81,goal,penalty,penalty,right-foot,low-left,47,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,O. B. Meier,907685,M,21,0.05575,-,miss,-,regular,right-foot,close-left,45,1
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,C. Daferner,843133,F,33,0.02592,0.2919,save,-,regular,right-foot,low-right,40,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,N. Hauptmann,798154,M,27,0.01467,-,block,-,regular,left-foot,low-centre,37,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,O. B. Meier,907685,M,21,0.0139,0.01371,save,-,regular,right-foot,low-centre,36,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,P. Heise,124743,D,16,0.05562,0.1612,save,-,free-kick,left-foot,low-left,23,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,J. Lemmer,992144,F,10,0.03519,-,miss,-,regular,right-foot,close-left,12,0
1,FC Viktoria Köln : SG Dynamo Dresden,1 : 2,C. Daferner,843133,F,33,0.1232,-,block,-,regular,left-foot,low-centre,5,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,P. Heise,124743,D,16,0.0609,0.3564,goal,regular,regular,left-foot,high-centre,90,1
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,R. Meißner,899284,F,21,0.3201,0.4707,goal,regular,corner,head,low-centre,78,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,P. Heise,124743,D,16,0.01427,0.07102,save,-,throw-in-set-piece,left-foot,high-centre,77,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,V. Šapina,566918,M,5,0.03314,0.01135,save,-,regular,right-foot,low-centre,68,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,V. Šapina,566918,M,5,0.05712,-,miss,-,regular,left-foot,close-left,62,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Menzel,1511779,M,24,0.2762,-,miss,-,regular,right-foot,close-high,60,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,A. Casar,988274,M,17,0.2078,-,block,-,regular,right-foot,low-centre,60,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Menzel,1511779,M,24,0.1282,-,miss,-,corner,right-foot,close-left,55,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,A. Casar,988274,M,17,0.004191,-,miss,-,regular,right-foot,close-high-left,46,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,A. Casar,988274,M,17,0.1498,0.2027,save,-,corner,head,low-centre,45,1
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,T. Menzel,1511779,M,24,0.3745,0.7182,goal,regular,regular,left-foot,low-centre,31,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,S. Kutschke,38923,F,30,0.76,0.81,goal,penalty,penalty,right-foot,low-left,27,0
2,SG Dynamo Dresden : Energie Cottbus,4 : 2,N. Hauptmann,798154,M,27,0.006566,-,block,-,corner,left-foot,low-centre,24,0
