Id,Player,Position,xG sum,xG per shot,xGOT sum,xGOT per shot,Added Value,AdV per Shot,Shots,% oT,Goals
103004,T. Thiele,Forward,7.9,0.29,13.36,0.49,5.459999999999999,0.2,27,61,10
1141131,L. Copado,Forward,2.81,0.2,4.61,0.33,1.8000000000000003,0.13,14,58,4
355416,M. Pronichev,Forward,2.47,0.25,3.66,0.37,1.19,0.12,10,62,4
922495,P. Halbauer,Forward,1.41,0.1,2.54,0.18,1.1300000000000001,0.08,14,64,4
804808,M. Krauss,Forward,2.71,0.18,3.62,0.24,0.9100000000000001,0.06,15,48,5
842867,J. Hofmann,Midfield,0.34,0.17,0.66,0.33,0.32,0.16,2,40,1
569976,D. Pelivan,Midfield,0.55,0.18,0.94,0.31,0.3899999999999999,0.13,3,43,1
253679,T. Ciğerci,Midfield,3.35,0.15,5.25,0.24,1.9,0.09,22,39,7
941564,Y. Möker,Midfield,0.18,0.04,0.53,0.13,0.35000000000000003,0.09,4,19,1
880801,T. Campulka,Defense,0.18,0.09,0.67,0.34,0.49000000000000005,0.25,2,67,1
990207,H. Rorig,Defense,0.28,0.06,1.12,0.22,0.8400000000000001,0.17,5,33,1
169215,A. Borgmann,Defense,0.05,0.02,0.09,0.04,0.039999999999999994,0.02,2,22,1
801246,F. Kusić,Defense,0.28,0.14,0.33,0.16,0.04999999999999999,0.02,2,40,0
941709,N. Bretschneider,Defense,0.21,0.1,0.16,0.08,-0.04999999999999999,-0.02,2,29,0
