Id	Player	Position	xG sum	xG per shot	xGOT sum	xGOT per shot	Added Value	AdV per Shot	Shots	% oT	Goals
38923	S. Kutschke	Forward	0.85	0.12	1.93	0.28	1.08	0.15	7.0	50.0	2
843133	C. Daferner	Forward	5.43	0.21	9.14	0.35	3.710000000000001	0.14	26.0	45.0	9
992144	J. Lemmer	Forward	0.85	0.12	1.6	0.23	0.7500000000000001	0.11	7.0	39.0	2
1568506	D. Bogdanov	Forward	0.12	0.06	0.29	0.14	0.16999999999999998	0.08	2.0	100.0	0
899284	R. Meißner	Forward	1.97	0.2	2.68	0.27	0.7100000000000002	0.07	10.0	33.0	5
1511779	T. Menzel	Midfield	2.43	0.3	3.99	0.5	1.56	0.2	8.0	40.0	4
798154	N. Hauptmann	Midfield	0.78	0.13	1.48	0.25	0.7	0.12	6.0	19.0	2
566918	V. Šapina	Midfield	0.38	0.08	0.86	0.17	0.48	0.1	5.0	22.0	1
907685	O. B. Meier	Midfield	0.68	0.08	1.55	0.17	0.87	0.1	9.0	38.0	0
988274	A. Casar	Midfield	1.0	0.1	1.78	0.18	0.78	0.08	10.0	36.0	1
1121903	J. Oehmichen	Midfield	1.98	0.4	2.25	0.45	0.27	0.05	5.0	31.0	3
1006392	T. K. Berger	Midfield	0.02	0.02	0.02	0.02	0.0	0.0	1.0	33.0	0
1168503	D. Kubatta	Defense	1.03	0.52	1.63	0.82	0.5999999999999999	0.3	2.0	40.0	2
124743	P. Heise	Defense	0.34	0.04	1.05	0.13	0.71	0.09	8.0	53.0	1
1033202	J. Sterner	Defense	0.27	0.07	0.53	0.13	0.26	0.06	4.0	40.0	1
888731	L. Bünning	Defense	0.14	0.14	0.16	0.16	0.01999999999999999	0.02	1.0	33.0	0
